recipe_slug	rating
falafel	1.0
spamburger	0.5
bacon-fried-rice	0.5
chicken-fingers	0.0
apple-crisp	0.75
cranberry-apple-crisp	1.0
bacon-chocolate-chip-cookies	1.0
sujebi	1.0
pasta-primavera	1.0
ramen	0.75
brownies	0.25
bacon-wrapped-scallops	1.0
bacon-egg-muffins	0.25
breakfast-burritos	0.5
bolognese-sauce	1.0
croissants	0.5
bacon-souffle	0.75
souffle	0.5
chocolate-souffle	1.0
butter-croissants	1.0
pickled-green-beans	0.0
fried-oysters	1.0
peanut-butter-brownies	0.0
almond-chip-cookies	0.75
guacamole	0.5
brioche-bread	0.25
brioche-bread-with-chocolate	0.5
asparagus-quiche	0.25
asparagus-burger	0.75
ma-la-chicken	1.0
cold-noodles-with-tomatoes	0.0
tamales	0.75
enchiladas	1.0
tacos	0.75
burritos	0.75
peanut-butter-cupcakes	0.0
pickled-asparagus	0.0
chocolate-peanut-butter-cake	0.0
udon	0.5
vegetable-lasagna	1.0
maple-bacon-donuts	0.5
maple-bacon-pancakes	0.75
spinach-and-ricotta-stuffed-shells	1.0
quesadillas	1.0
pico-de-gallo	0.5
nachos	0.75
cold-soba-noodles-with-tomato-and-cucumber	0.5
fajitas	0.75
loaded-nachos	1.0
lasagna	0.25
chicken-nuggets	0.0
pain-au-chocolat	1.0
nacho-dip	0.75
nacho-salad	0.5
nacho-casserole	0.5
nacho-fries	1.0
tempura-udon	1.0
peach-crisp	0.75
apple-pie	0.25
blueberry-crisp	0.75
berry-crumble	1.0
strawberry-rhubarb-crisp	0.75
peach-cobbler	0.75
cranberry-sauce	0.5
cherry-cobbler	0.75
apple-crumble	0.75
chocolate-croissants	1.0
french-toast	0.5
chocolate-babka	1.0
cinnamon-babka	0.75
blueberry-crumble	0.75
spam-musubi	1.0
taco-salad	0.75
chiles-rellenos	0.25
almond-croissants	0.75
cranberry-relish	0.75
ma-la-beef	1.0
chocolate-cake	1.0
spinach-quiche	0.25
mushroom-quiche	0.0
quiche-lorraine	0.75
croissant-aux-amandes	1.0
danishes	0.5
spinach-and-feta-quiche	0.75
cold-sesame-noodles	0.0
soba-noodle-salad-with-peanut-dressing	0.0
dan-dan-noodles	0.75
vanilla-souffle	1.0
bacon-wrapped-dates	0.5
cherry-pie	0.75
berry-crisp	0.75
bacon-and-egg-breakfast-sandwich	0.25
bacon-wrapped-shrimp-skewers	1.0
bacon-wrapped-chicken	0.5
bacon-wrapped-asparagus	0.0
bacon-mac-and-cheese	0.5
chicken-alfredo-lasagna	1.0
classic-beef-lasagna	0.5
vegetarian-mushroom-lasagna	0.25
spinach-and-ricotta-lasagna	0.75
